2022-10-23 21:38:33, Epoch: [0 / 90], step: [1700 / 3326], loss_dice: 0.39477217, loss_ce: 0.19304883, loss: 0.587821, lr: 0.0009999989
2022-10-23 21:38:37, Epoch: [0 / 90], step: [1750 / 3326], loss_dice: 0.9970366, loss_ce: 0.3296533, loss: 1.3266898, lr: 0.0009999983
2022-10-23 21:38:41, Epoch: [0 / 90], step: [1800 / 3326], loss_dice: 0.5040266, loss_ce: 0.46717697, loss: 0.97120357, lr: 0.0009999975
2022-10-23 21:38:44, Epoch: [0 / 90], step: [1850 / 3326], loss_dice: 0.27165884, loss_ce: 0.26659814, loss: 0.538257, lr: 0.0009999967
2022-10-23 21:38:48, Epoch: [0 / 90], step: [1900 / 3326], loss_dice: 0.24046046, loss_ce: 0.20370618, loss: 0.44416663, lr: 0.0009999956
2022-10-23 21:38:52, Epoch: [0 / 90], step: [1950 / 3326], loss_dice: 0.988807, loss_ce: 0.32962823, loss: 1.3184352, lr: 0.0009999945
2022-10-23 21:38:56, Epoch: [0 / 90], step: [2000 / 3326], loss_dice: 0.3701133, loss_ce: 0.1567988, loss: 0.5269121, lr: 0.0009999931
2022-10-23 21:39:00, Epoch: [0 / 90], step: [2050 / 3326], loss_dice: 0.46639025, loss_ce: 0.30143863, loss: 0.7678289, lr: 0.0009999917
2022-10-23 21:39:04, Epoch: [0 / 90], step: [2100 / 3326], loss_dice: 0.4925059, loss_ce: 0.17635569, loss: 0.6688616, lr: 0.00099999
2022-10-23 21:39:08, Epoch: [0 / 90], step: [2150 / 3326], loss_dice: 0.9672919, loss_ce: 0.18298337, loss: 1.1502752, lr: 0.0009999884
2022-10-23 21:39:11, Epoch: [0 / 90], step: [2200 / 3326], loss_dice: 0.96949327, loss_ce: 0.33750218, loss: 1.3069954, lr: 0.0009999865
2022-10-23 21:39:15, Epoch: [0 / 90], step: [2250 / 3326], loss_dice: 0.9957668, loss_ce: 0.17266758, loss: 1.1684344, lr: 0.0009999846
2022-10-23 21:39:19, Epoch: [0 / 90], step: [2300 / 3326], loss_dice: 0.9779226, loss_ce: 0.47756594, loss: 1.4554886, lr: 0.0009999824
2022-10-23 21:39:23, Epoch: [0 / 90], step: [2350 / 3326], loss_dice: 1.0, loss_ce: 0.2793582, loss: 1.2793581, lr: 0.0009999801
