2022-10-22 03:19:38, Epoch: [3 / 90], step: [150 / 900], loss: 0.054856837, lr: 0.0009993147
2022-10-22 03:20:10, Epoch: [3 / 90], step: [200 / 900], loss: 0.06268078, lr: 0.0009992631
2022-10-22 03:20:44, Epoch: [3 / 90], step: [250 / 900], loss: 0.042615023, lr: 0.0009992095
2022-10-22 03:21:16, Epoch: [3 / 90], step: [300 / 900], loss: 0.029656015, lr: 0.000999154
2022-10-22 03:21:49, Epoch: [3 / 90], step: [350 / 900], loss: 0.042450562, lr: 0.0009990968
2022-10-22 03:22:21, Epoch: [3 / 90], step: [400 / 900], loss: 0.051345464, lr: 0.0009990375
2022-10-22 03:22:54, Epoch: [3 / 90], step: [450 / 900], loss: 0.041116275, lr: 0.0009989765
2022-10-22 03:23:27, Epoch: [3 / 90], step: [500 / 900], loss: 0.04971068, lr: 0.0009989135
2022-10-22 03:24:00, Epoch: [3 / 90], step: [550 / 900], loss: 0.037661698, lr: 0.0009988487
2022-10-22 03:24:33, Epoch: [3 / 90], step: [600 / 900], loss: 0.033732034, lr: 0.000998782
2022-10-22 03:25:06, Epoch: [3 / 90], step: [650 / 900], loss: 0.04139601, lr: 0.0009987134
2022-10-22 03:25:38, Epoch: [3 / 90], step: [700 / 900], loss: 0.0432315, lr: 0.000998643
2022-10-22 03:26:11, Epoch: [3 / 90], step: [750 / 900], loss: 0.034793183, lr: 0.0009985707
2022-10-22 03:26:43, Epoch: [3 / 90], step: [800 / 900], loss: 0.035193272, lr: 0.0009984964
2022-10-22 03:27:15, Epoch: [3 / 90], step: [850 / 900], loss: 0.039178498, lr: 0.0009984204
    background: 99.91, kidney: 94.83 
2022-10-22 03:28:56, Epoch: [4 / 90], step: [0 / 900], loss: 0.042828638, lr: 0.0009983424
2022-10-22 03:29:28, Epoch: [4 / 90], step: [50 / 900], loss: 0.04279843, lr: 0.0009982627
2022-10-22 03:30:00, Epoch: [4 / 90], step: [100 / 900], loss: 0.03216545, lr: 0.0009981809
2022-10-22 03:30:32, Epoch: [4 / 90], step: [150 / 900], loss: 0.049620077, lr: 0.0009980974
2022-10-22 03:31:04, Epoch: [4 / 90], step: [200 / 900], loss: 0.035845406, lr: 0.0009980119
2022-10-22 03:31:36, Epoch: [4 / 90], step: [250 / 900], loss: 0.035385087, lr: 0.0009979246
2022-10-22 03:32:08, Epoch: [4 / 90], step: [300 / 900], loss: 0.03203672, lr: 0.0009978354
2022-10-22 03:32:40, Epoch: [4 / 90], step: [350 / 900], loss: 0.03381548, lr: 0.0009977444
2022-10-22 03:33:12, Epoch: [4 / 90], step: [400 / 900], loss: 0.046873644, lr: 0.0009976514
2022-10-22 03:33:44, Epoch: [4 / 90], step: [450 / 900], loss: 0.051729802, lr: 0.0009975566
2022-10-22 03:34:15, Epoch: [4 / 90], step: [500 / 900], loss: 0.035839666, lr: 0.0009974599
2022-10-22 03:34:47, Epoch: [4 / 90], step: [550 / 900], loss: 0.029714616, lr: 0.0009973614
2022-10-22 03:35:19, Epoch: [4 / 90], step: [600 / 900], loss: 0.040430464, lr: 0.0009972609
2022-10-22 03:35:52, Epoch: [4 / 90], step: [650 / 900], loss: 0.038153872, lr: 0.0009971587
2022-10-22 03:36:24, Epoch: [4 / 90], step: [700 / 900], loss: 0.04469609, lr: 0.0009970545
2022-10-22 03:36:56, Epoch: [4 / 90], step: [750 / 900], loss: 0.033236478, lr: 0.0009969485
2022-10-22 03:37:28, Epoch: [4 / 90], step: [800 / 900], loss: 0.046076052, lr: 0.0009968405
2022-10-22 03:38:01, Epoch: [4 / 90], step: [850 / 900], loss: 0.039442267, lr: 0.0009967308
    background: 99.90, kidney: 94.62 
2022-10-22 03:39:41, Epoch: [5 / 90], step: [0 / 900], loss: 0.027891558, lr: 0.0009966192
2022-10-22 03:40:15, Epoch: [5 / 90], step: [50 / 900], loss: 0.04401028, lr: 0.0009965057
2022-10-22 03:40:47, Epoch: [5 / 90], step: [100 / 900], loss: 0.032983907, lr: 0.0009963904
2022-10-22 03:41:20, Epoch: [5 / 90], step: [150 / 900], loss: 0.052070014, lr: 0.0009962731
2022-10-22 03:41:53, Epoch: [5 / 90], step: [200 / 900], loss: 0.032667726, lr: 0.0009961539
2022-10-22 03:42:25, Epoch: [5 / 90], step: [250 / 900], loss: 0.040908277, lr: 0.000996033
2022-10-22 03:42:58, Epoch: [5 / 90], step: [300 / 900], loss: 0.042091247, lr: 0.0009959101
2022-10-22 03:43:30, Epoch: [5 / 90], step: [350 / 900], loss: 0.033531383, lr: 0.0009957855
2022-10-22 03:44:03, Epoch: [5 / 90], step: [400 / 900], loss: 0.031179283, lr: 0.0009956589
2022-10-22 03:44:35, Epoch: [5 / 90], step: [450 / 900], loss: 0.11119937, lr: 0.0009955305
2022-10-22 03:45:08, Epoch: [5 / 90], step: [500 / 900], loss: 0.07089708, lr: 0.0009954002
2022-10-22 03:45:41, Epoch: [5 / 90], step: [550 / 900], loss: 0.2261519, lr: 0.000995268
2022-10-22 03:46:14, Epoch: [5 / 90], step: [600 / 900], loss: 0.04140463, lr: 0.000995134
